HRname,companyInfo,companyName,education,expirence,info_url,jobname,salary,workAddress,workRequire
马先生,码博科技(MaboTech)是制造执行系统(MES/MOM)服务商、达索Apriso合作伙伴。,码博科技,本科,5-10年,https://www.zhipin.com/job_detail/7c0ccba9b5d2a5c50nZ-0920FA~~.html,北京Erlang,13k-20k,北京市海淀区上地街道中关村发展大厦,"Erlang、Python开发智能制造、工业物联网、工业4.0应用# 技能要求- Python及常用库- Javascript、PLV8- Database：PostgreSQL、Oracle、SQL Server- OpenResty、Lua- Redis- Erlang# 业务领域- 达索Apriso实施- 码博MES开发及实施- 码博设备监控系统开发及实施
                            Python作为主要开发语言
                                    码博科技(MaboTech)是制造执行系统(MES/MOM)服务商、达索Apriso合作伙伴。我们需要：- Python开发工程师- 后端开发工程师。# 业务领域- Python数据采集和处理- MES项目实施# 技能要求- Python及各种"
刘先生,京东于2004年正式涉足电商领域。2016年，京东集团市场交易额达到9392亿元*。京东是中国收入规模最大的互联网企业。2017年7月，京东再次入榜《财富》全球500强，位列第261位，成为排名最高的中国互联网企业，在全球仅次于亚马逊和Alphabet，位列互联网企业第三。2018年财富世界500强,京东集团,本科,5-10年,https://www.zhipin.com/job_detail/be197e634630b15d1XF_3di0F1A~.html,Golang,25k-50k,北京大兴区京东集团总部,"区块链平台开发，区块链底层开发，智能合约开发，平台运维工程师，区块链应用开发，各种岗位，go语言，c++语言都可以。
                            
                                    京东于2004年正式涉足电商领域。2016年，京东集团市场交易额达到9392亿元*。京东是中国收入规模最大的互联网企业。2017年7月，京东再次入榜《财富》全球500强，位列第261位，成为排名最高的中国互联网企业，在全球仅次于亚马逊和Alphabet，位列互联网企业第三。2018年财富世界500强"
王女士,游戏行业：以游戏为支点，撬动整个互联网资源和市场，并期望引领游戏产业发展；,北京四三九九,本科,经验不限,https://www.zhipin.com/job_detail/b1b1449a13112c801HV_09m1FlY~.html,Erlang开发工程师,15k-25k,北京市 海淀区 清华科技园·创业大厦(东门) 11层1107A室,"岗位职责：1、用erlang语言进行游戏服务器端的日常开发；2、良好编程基础，专注、热衷技术开发的非erlang开发者、公司可提供培训。任职要求：1、本科及以上学历，优秀的应届理工科毕业生也可考虑；2、较好的编程能力（不限定语言，C/C++,Java, Python皆可）；3、良好的TCP/IP协议基础，能够使用mysql数据库进行应用开发；4、良好的编码习惯，善于学习；能够独立解决问题，具有拼搏精神；5、良好的沟通能力及团队协作能力。公司相关福利待遇： 1、基本工资：提供极具竞争力的薪酬；根据公司业务发展状况和个人工作表现进行年度绩效评估和薪酬调整；2、丰厚奖金：月度奖金、全勤奖、年终双薪； 3、五险一金：养老保险、医疗保险、工伤保险、失业保险、生育保险，及住房公积金； 4、健康关怀：新员工免费享有入职体检，全员免费享有每年一次的全面专业体检； 5、员工活动：丰富的文体活动，如读书活动、室内拓展活动、羽毛球、足球、篮球等；6、其他福利：高标准餐补，节日礼金、节日活动奖品、平日免费供应咖啡、奶茶、零食、新鲜的水果等。
                            
                                    游戏行业：以游戏为支点，撬动整个互联网资源和市场，并期望引领游戏产业发展；业务涵盖：小游戏、游戏盒、手机运营平台、页游运营平台、手游研发、页游研发、海外市场、游戏发行门户平台：四三九九旗下平台累计注册用户突破5亿人次；，4399游戏盒累计下载量超过4000万次，月活跃用户数突破850万人；"
李先生,梦启（北京）科技有限公司，注册于中国首都——北京。2011年8月正式创立，致力于HTML5手机网页游戏研发，现已成为国内手机网页棋牌细分领域领跑者。2017年10月正式被上市公司浙数文化（股票代码600633）的全资子公司——边锋公司并购。通过并购重组,梦启科技,本科,1-3年,https://www.zhipin.com/job_detail/2c3e4fb5cbbc751e1XV52N26FlI~.html,Erlang工程师,15k-25k,北京市 朝阳区 朝来高科技产业园10号楼 紫月路18号院10号楼3层,"工作职责：1、负责项目的服务端开发，使用Erlang语言进行游戏服务端架构设计；2、负责Erlang程序开发，代码实现及调试，独立撰写开发文档；3、根据需求和总体设计对服务器端核心模块与逻辑设计及实现。职位要求：1、本科及以上学历，计算机或相关专业，2年以上Erlang开发工作经验；2、熟悉Erlang语言编程，能够独立根据需求进行模块设计和开发工作；3、精通C/C++，熟悉设计模式，有良好的软件开发素养和软件工程思想；4、良好的TCP/IP协议基础，能够使用MYSQL数据库进行应用开发；5、良好的沟通能力及团队协作能力，具有很强的责任心，能承受较大的工作压力；6、有大型互联网公司任职经验者优先。7、有良好的学习能力
                            公司现有编制100余人，现有核心高管均来自腾讯，网易，完美时空等全球一线的互联网公司，拥有强劲的研发与运营经验。
                                    梦启（北京）科技有限公司，注册于中国首都——北京。2011年8月正式创立，致力于HTML5手机网页游戏研发，现已成为国内手机网页棋牌细分领域领跑者。2017年10月正式被上市公司浙数文化（股票代码600633）的全资子公司——边锋公司并购。通过并购重组"
曹先生,关于多牛,多牛传媒,大专,1-3年,https://www.zhipin.com/job_detail/195468a08c1b05f31nV40ty0GFs~.html,Node.js,10k-20k,北京海淀区奥北科技园18号,"岗位职责：1、 负责服务端业务逻辑开发2、根据业务需求， 编写 Node.js 程序3、 根据系统性能需求， 对系统进行性能优化任职要求：1、 有 Node.js 相关开发经验， 熟悉 Javascript 语言2、 熟悉 MongoDB, Redis, MySQL 数据库3、 熟悉 Linux, Nginx 等 WEB 服务器相关技术4、 有高性能、高可用性、高并发WEB项目和海量数据处理经验5、 学习能力强， 对新技术抱有极大热情, 认真负责， 善于沟通， 有良好的团队合作精神.
                            
                                    关于多牛      北京多牛互动传媒股份有限公司成立于2012年，其前身donews.com成立于2000年，多牛谐音于donews。      19年发展史，多牛一边见证中国互联网发展的风云激荡，一边厚积薄发，最早将大数据、云计算、人工智能技术运用于内容产业，打造新媒体生态链，提供新媒体营销服"
李先生,梦启（北京）科技有限公司，注册于中国首都——北京。2011年8月正式创立，致力于HTML5手机网页游戏研发，现已成为国内手机网页棋牌细分领域领跑者。2017年10月正式被上市公司浙数文化（股票代码600633）的全资子公司——边锋公司并购。通过并购重组,梦启科技,本科,3-5年,https://www.zhipin.com/job_detail/9ba6742335449afd1XV52Ny7GFE~.html,高级Erlang工程师,20k-35k,北京市 昌平区 金域国际中心A座 703,"职位描述：1. 能独立完成服务的逻辑功能模块开发; 2. 能独立处理和解决所负责的任务； 3. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务； 4. 进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 5. 进行编制项目文档和质量记录的工作； 6. 维护软件使之保持可用性和稳定性。7.向公司业务部门进行技术输出任职要求：1. 熟悉erlang语言； 2. 熟悉服务端的缓存架构； 3. 对socket编程比较熟悉；  4. 有分布式游戏服务器经验者优先； 5.了解自动化运维相关知识。
                            公司现有编制100余人，现有核心高管均来自腾讯，网易，完美时空等全球一线的互联网公司，拥有强劲的研发与运营经验。
                                    梦启（北京）科技有限公司，注册于中国首都——北京。2011年8月正式创立，致力于HTML5手机网页游戏研发，现已成为国内手机网页棋牌细分领域领跑者。2017年10月正式被上市公司浙数文化（股票代码600633）的全资子公司——边锋公司并购。通过并购重组"
马先生,Tellus成立于2016年美国硅谷，创始团队有雄厚的技术和商业背景，皆毕业于斯坦福等高校，且有丰富的创业经验，创建并退出过多家成功的科技公司，开发过数款覆盖近亿人次的互联网产品。,资利,本科,3-5年,https://www.zhipin.com/job_detail/2e43d42d524320051XN639y4EVc~.html,Ruby,10k-20k,北京朝阳区中国第一商城B座18C（1803）,"职位描述（职责）负责产品的研发，包括现有功能的升级和新功能的迭代 任职要求1. 计算机相关专业本科及以上学历2. 熟练掌握 Ruby on Rails3. 熟练使用 Git4. 熟悉 Ubuntu Server、Postgresql5. 熟练 React, Redux 优先6. 熟练接口设计的原则7. 有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题，对待技术有强烈兴趣；工作认真、严谨，具备较强的学习能力和责任心，能自我激励，善于沟通与跨国团队协作
                            
                                    Tellus成立于2016年美国硅谷，创始团队有雄厚的技术和商业背景，皆毕业于斯坦福等高校，且有丰富的创业经验，创建并退出过多家成功的科技公司，开发过数款覆盖近亿人次的互联网产品。        Tellus是拉丁语中“地球”的意思，也是古罗马大地之母泰勒斯"
徐先生,北京南社村软件有限公司作为用友软件核心代理商及重要二次开发合作伙伴，专注ERP市场十余年，拥有一支专业的ERP销售、实施和开发团队，具备为客户提供优质的全生命周期的服务能力；公司业务涉及用友软件所有主流产品线，包括NC、U8、T3 T6、致远OA等等。,北京南社村,大专,经验不限,https://www.zhipin.com/job_detail/4114d344964a04131nB52N65FVs~.html,VB开发工程师,6k-12k,北京昌平区北回归线2号楼513,"改职位主要做用友U8软件上的二次开发，接口开发，以及基于这个平台的定制集成开发1、两年以上VB开发工作经验2、有用友软件二开工作经验优先3、熟悉SQL Server数据库4、与客户沟通没有障碍，注重团队合作待遇方面除去基本工资以外还有项目奖金，每年最少一次的团队外出旅游，有稳定的晋升空间。
                            
                                    北京南社村软件有限公司作为用友软件核心代理商及重要二次开发合作伙伴，专注ERP市场十余年，拥有一支专业的ERP销售、实施和开发团队，具备为客户提供优质的全生命周期的服务能力；公司业务涉及用友软件所有主流产品线，包括NC、U8、T3 T6、致远OA等等。   我们专注中小型企业信息化，致力于企业E"
王女士,千里马招标网(www.qianlima.com)创办于2001年6月，由北京梦想时代信息咨询有限公司、神州国软(北京)科技有限公司、北京千里马网信科技有限公司联合运营，总注册资金1160万元。在有关部门和各界专家的指示和指导下，我公司积极响应《中华人民共和国招标投标法》，为优化公共招投标市场而孕育诞,千里马招标网,本科,5-10年,https://www.zhipin.com/job_detail/e9abe2010589d7851HV809W5EFQ~.html,自然语言处理,30k-40k,北京海淀区上地五街群英科技园5号楼（东区）2层,"重要！！请看岗位匹配关键词：1.NLP实际从业经历至少在5年以上；2.必须熟练掌握以下技能点：文本分析、实体提取、聚类、TextRank算法、Word2Vector；3.需统招本科及以上学历。岗位职责：1.承担自然语言理解，深度学习等方面的核心算法研究、项目工作；2.利用NLP/ML等相关技术和算法，提供文本分析相关的基础方案与服务；3.针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作。任职要求：1.在自然语言处理（NLP)、知识图谱、机器学习、深度学习领域有不少于3年研发经验；2. 熟练掌握使用TextRank算法、Word2Vector、实体提取等相关算法与技术；3. 熟练掌握各种深度学习工具；4. 有较强工程实现和优化能力，尤其是系统架构层面有深入的理解。
                            
                                    千里马招标网(www.qianlima.com)创办于2001年6月，由北京梦想时代信息咨询有限公司、神州国软(北京)科技有限公司、北京千里马网信科技有限公司联合运营，总注册资金1160万元。在有关部门和各界专家的指示和指导下，我公司积极响应《中华人民共和国招标投标法》，为优化公共招投标市场而孕育诞"
郜先生,神马搜索是阿里巴巴旗下的专注移动互联网的搜索引擎，致力于为用户创造方便、快捷、开放的移动搜索新体验。2014年5月，神马移动搜索月活跃用户已突破1亿，在国内移动搜索市场用户渗透率突破20%。2015年3月，在中国移动端网民使用搜索引擎比例中，神马搜索以13.35%的份额稳居第二。2015年8月，神马,阿里神马,硕士,经验不限,https://www.zhipin.com/job_detail/32732b9ae8660dc71XR42tq9FVE~.html,自然语言处理,25k-40k,北京朝阳区东亚·望京中心B座,"职位描述：负责神马搜索产品中的在线算法及离线算法研发和持续优化,深度学习应用于自然语言处理。职位要求：1、计算机或者相关专业本科以上学历2、2年以上搜索或推荐类产品的算法研发经验，熟悉常用算法，理解算法思想，并有实际应用经验3、熟悉linux平台，精通c++，具有强悍的编码能力、扎实的数据结构和算法功底4、有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎/自然语言处理/ 反作弊等一个活多个领域相关经验者优先5、 责任心强, 能承受一定工作压力, 有较强的学习能力
                            
                                    神马搜索是阿里巴巴旗下的专注移动互联网的搜索引擎，致力于为用户创造方便、快捷、开放的移动搜索新体验。2014年5月，神马移动搜索月活跃用户已突破1亿，在国内移动搜索市场用户渗透率突破20%。2015年3月，在中国移动端网民使用搜索引擎比例中，神马搜索以13.35%的份额稳居第二。2015年8月，神马"
